batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
69be866a,Anureet Singh,PP Chawla,85.1,YS Chahal,81.6,S Nadeem,72.9
69d03465,AT Carey,DL Vettori,73.0,MA Starc,66.1,Shakib Al Hasan,59.8
6a26221c,AK Markram,V Kohli,90.9,Tilak Varma,90.7,KL Rahul,90.2
6aed7e79,PV Tambe,A Kumble,86.9,MA Starc,86.5,RP Singh,76.8
6afb26d6,MD Mishra,R Powell,62.3,AP Tare,58.8,M Morkel,49.1
6b19d823,A Mishra,R Sathish,74.5,GH Vihari,70.9,SK Warne,69.2
6b2ff18f,SB Dubey,DJG Sammy,76.4,BCJ Cutting,75.7,RN ten Doeschate,75.2
6b71e6cf,KC Sangakkara,SR Tendulkar,93.5,G Gambhir,93.0,MEK Hussey,92.8
6b8eb6e5,S Sreesanth,S Nadeem,84.8,Mohammed Siraj,79.7,A Nehra,77.9
6c19c6e5,YBK Jaiswal,BB McCullum,96.8,P Simran Singh,96.5,ML Hayden,96.4
6c6591ab,PP Ojha,RP Singh,94.3,AB Dinda,88.7,YS Chahal,85.2
6c882e9a,PBB Rajapaksa,RA Tripathi,93.8,SE Rutherford,89.0,JM Sharma,84.4
6dbcf855,VH Zol,SW Billings,64.2,A Raghuvanshi,60.4,DJ Hooda,57.2
6eb146d2,Gurkeerat Singh,GJ Bailey,90.3,DB Ravi Teja,84.5,Y Venugopal Rao,79.4
